checkpoint,iteration,target_step,nearest_success_step,success_rate,stage1_alignment_ready_rate,stage1_latched_rate,pregrasp_entry_success_rate,pregrasp_entry_ready_rate,pregrasp_entry_reached_rate,pregrasp_success_rate,pregrasp_hold_ready_rate,pregrasp_held_rate,stage2_pregrasp_ready_rate,stage2_latched_rate,stage2_alignment_ready_rate,stage3_insertion_ready_rate,stage3_latched_rate,stage3_touch_ready_rate,stage4_center_ready_rate,stage4_push_ready_rate,mean_pregrasp_entry_distance,mean_pregrasp_distance,mean_gripper_center_pregrasp_distance,mean_touch_target_distance,mean_touch_error,mean_distance,mean_insertion_lateral_error,mean_alignment,mean_pregrasp_alignment,mean_insertion_alignment,mean_target_contact_penalty,mean_pregrasp_center_progress,mean_insertion_progress,mean_center_push_progress,mean_best_center_push_progress,mean_center_push_improvement,mean_best_target_center_distance,mean_target_center_improvement,mean_target_center_shell_improvement,mean_center_shortest_path_score,mean_stage4_time_pressure,mean_stage3_time_preserve,mean_terminal_success_quality,mean_near_terminal_reward,mean_stage_latch_reward,mean_progressive_stage_weight,mean_moving_pregrasp_fraction,moving_pregrasp_final_rate,mean_moving_pregrasp_reward,mean_final_insertion_reward,mean_pregrasp_line_error,min_distance,mean_reward,path
model_1900.pt,1900,1900,1900,0.000244140625,0.9931640625,0.9931640625,0.771728515625,0.45361328125,0.498291015625,0.949951171875,0.4970703125,0.498291015625,0.498291015625,0.498291015625,0.9931640625,0.24169921875,0.497314453125,0.0986328125,0.000244140625,0.194091796875,0.09264427423477173,0.07704059034585953,0.07704059034585953,0.06587763130664825,0.06587763130664825,0.06587763130664825,0.05206551030278206,0.919658362865448,0.919658362865448,0.919658362865448,0.0,0.8648055791854858,0.632138729095459,0.632138729095459,0.6613158583641052,0.002665785839781165,0.5425688028335571,3.61051170330029e-05,0.00732421875,0.3305436372756958,0.12625324726104736,0.00776536762714386,0.0,0.020018145442008972,0.2251274585723877,1.0174100399017334,0.4536946713924408,0.446533203125,0.025803230702877045,0.020823810249567032,1.4673922521524219e-08,0.04303937405347824,415.99615478515625,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-15_15-05-58/model_1900.pt
model_1950.pt,1950,1950,1950,0.000732421875,1.0,1.0,0.975341796875,0.888916015625,0.911376953125,1.0,0.8994140625,0.911376953125,0.911376953125,0.911376953125,1.0,0.342529296875,0.911376953125,0.19970703125,0.000732421875,0.319580078125,0.06601646542549133,0.05971125140786171,0.05971125140786171,0.057625651359558105,0.057625651359558105,0.057625651359558105,0.04918745532631874,0.9457271099090576,0.9457271099090576,0.9457271099090576,0.0,0.7060983777046204,0.5233530402183533,0.5233530402183533,0.7499279379844666,0.0014056242071092129,0.15196609497070312,2.4526518245693296e-05,0.0048828125,0.30141738057136536,0.18423014879226685,0.010414891876280308,0.0,0.037671007215976715,0.2804078757762909,1.0255072116851807,0.8893229365348816,0.886474609375,0.07808174192905426,0.034239765256643295,1.5545566611763206e-08,0.03451889380812645,8593.482421875,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-15_15-05-58/model_1950.pt
model_2000.pt,2000,2000,2000,0.0009765625,0.987548828125,0.987548828125,0.958984375,0.84765625,0.8515625,0.979736328125,0.8515625,0.8515625,0.8515625,0.8515625,0.987548828125,0.40380859375,0.8515625,0.2998046875,0.0009765625,0.394287109375,0.0716027170419693,0.06325848400592804,0.06325848400592804,0.061940357089042664,0.061940357089042664,0.061940357089042664,0.05277334153652191,0.9274297952651978,0.9274297952651978,0.9274297952651978,0.0,0.7634834051132202,0.5497733950614929,0.5497733950614929,0.7403669953346252,0.0020629025530070066,0.20105117559432983,2.6639827410690486e-05,0.004638671875,0.2857743501663208,0.20982584357261658,0.013424377888441086,0.0,0.0742000937461853,0.2705465853214264,1.0296646356582642,0.84521484375,0.842041015625,0.07100306451320648,0.04523955285549164,1.336695198972393e-08,0.03883492946624756,8331.4033203125,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-15_15-05-58/model_2000.pt
model_2050.pt,2050,2050,2050,0.0,0.99365234375,0.99365234375,0.5751953125,0.396484375,0.53271484375,0.9921875,0.49169921875,0.53271484375,0.53271484375,0.53271484375,0.99365234375,0.359375,0.53271484375,0.1416015625,0.0,0.277587890625,0.09945324808359146,0.08005480468273163,0.08005480468273163,0.063025563955307,0.063025563955307,0.063025563955307,0.053765833377838135,0.9202544689178467,0.9202544689178467,0.9202544689178467,0.0,0.9133679866790771,0.6877737045288086,0.6877737045288086,0.7024780511856079,0.0004344062472227961,0.49994394183158875,1.6044523363234475e-05,0.003173828125,0.24284544587135315,0.2222786545753479,0.01393377035856247,0.0,0.018093150109052658,0.2253323495388031,1.026329517364502,0.4296875,0.428466796875,0.02247660979628563,0.026821039617061615,1.2225466861082168e-08,0.04751361906528473,7054.29052734375,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-15_15-05-58/model_2050.pt
model_2100.pt,2100,2100,2100,0.0,0.999755859375,1.0,0.403564453125,0.33154296875,0.405517578125,0.90283203125,0.37060546875,0.405517578125,0.405517578125,0.405517578125,0.999755859375,0.19677734375,0.405517578125,0.038818359375,0.0,0.179931640625,0.10931520909070969,0.0894484892487526,0.0894484892487526,0.060665473341941833,0.060665473341941833,0.060665473341941833,0.054925642907619476,0.9166807532310486,0.9166807532310486,0.9166807532310486,0.0,0.9113401770591736,0.7536253929138184,0.7536253929138184,0.6428306102752686,0.0007834250573068857,0.6252717971801758,2.691145709832199e-06,0.00048828125,0.21321949362754822,0.09780354797840118,0.004726254381239414,0.0,0.0031163105741143227,0.215776726603508,1.012679100036621,0.3629557490348816,0.360595703125,0.01939416117966175,0.016443155705928802,1.297993090787486e-08,0.04315735027194023,5621.93359375,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-15_15-05-58/model_2100.pt
model_2150.pt,2150,2150,2150,0.001220703125,0.992431640625,0.992431640625,0.737548828125,0.6015625,0.66552734375,0.959716796875,0.639892578125,0.66552734375,0.66552734375,0.66552734375,0.992431640625,0.424072265625,0.66552734375,0.281982421875,0.001220703125,0.40087890625,0.09066683053970337,0.07464747130870819,0.07464747130870819,0.06278536468744278,0.06278536468744278,0.06278536468744278,0.05322803556919098,0.9207310676574707,0.9207310676574707,0.9207310676574707,0.0,0.8616955280303955,0.6902371644973755,0.6902371644973755,0.7176707983016968,0.0011843136744573712,0.3764113187789917,2.4925455363700166e-05,0.004150390625,0.26746663451194763,0.2284407615661621,0.01947561278939247,0.0,0.07209070026874542,0.2490587681531906,1.0385944843292236,0.6332194209098816,0.629638671875,0.044270604848861694,0.05389644205570221,1.572427343887739e-08,0.03886372223496437,8234.958984375,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-15_15-05-58/model_2150.pt
model_2198.pt,2198,2198,2198,0.00048828125,0.97509765625,0.9814453125,0.827880859375,0.691162109375,0.76904296875,0.968017578125,0.7529296875,0.76904296875,0.7626953125,0.76904296875,0.97509765625,0.458251953125,0.76904296875,0.361083984375,0.00048828125,0.41259765625,0.08481836318969727,0.07021117210388184,0.07021117210388184,0.06303204596042633,0.06303204596042633,0.06303204596042633,0.049235519021749496,0.9183202981948853,0.9183202981948853,0.9183202981948853,0.0,0.8186222314834595,0.6195744872093201,0.6195744872093201,0.7427951097488403,0.0008360592182725668,0.2780994474887848,1.933046951307915e-05,0.003662109375,0.3557116985321045,0.2501652240753174,0.03151444345712662,0.0,0.0882950872182846,0.2802852392196655,1.0591645240783691,0.7176106572151184,0.715087890625,0.06349751353263855,0.07625450938940048,1.6183214768261678e-08,0.029582194983959198,9739.4287109375,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-15_15-05-58/model_2198.pt
