checkpoint,iteration,target_step,nearest_success_step,success_rate,stage1_alignment_ready_rate,pregrasp_entry_success_rate,pregrasp_entry_ready_rate,pregrasp_entry_reached_rate,pregrasp_success_rate,pregrasp_hold_ready_rate,pregrasp_held_rate,stage2_pregrasp_ready_rate,stage2_alignment_ready_rate,stage3_insertion_ready_rate,stage3_touch_ready_rate,stage4_center_ready_rate,stage4_push_ready_rate,mean_pregrasp_entry_distance,mean_pregrasp_distance,mean_gripper_center_pregrasp_distance,mean_touch_target_distance,mean_touch_error,mean_distance,mean_insertion_lateral_error,mean_alignment,mean_pregrasp_alignment,mean_insertion_alignment,mean_target_contact_penalty,mean_pregrasp_center_progress,mean_insertion_progress,mean_center_push_progress,mean_best_center_push_progress,mean_center_push_improvement,mean_best_target_center_distance,mean_target_center_improvement,mean_target_center_shell_improvement,mean_center_shortest_path_score,mean_pregrasp_line_error,min_distance,mean_reward,path
model_1250.pt,1250,1250,1250,0.00048828125,0.93896484375,0.8408203125,0.0712890625,0.5009765625,0.938720703125,0.4541015625,0.5009765625,0.5009765625,0.93896484375,0.5009765625,0.494873046875,0.00048828125,0.205810546875,0.11416023969650269,0.0884006917476654,0.0884006917476654,0.05003537982702255,0.04031650722026825,0.07031650841236115,0.04040095582604408,0.8694700002670288,0.8694700002670288,0.8694700002670288,0.0,0.938720703125,0.8114871978759766,0.5856489539146423,0.6069900393486023,0.0004967403947375715,0.5246602892875671,5.1797833293676376e-05,0.009765625,0.6478643417358398,1.3712460500414636e-08,0.034731101244688034,2741.390869140625,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-15_13-31-34/model_1250.pt
model_1300.pt,1300,1300,1300,0.000244140625,0.986572265625,0.908935546875,0.1201171875,0.74365234375,0.98095703125,0.708984375,0.74365234375,0.74365234375,0.986572265625,0.74365234375,0.74365234375,0.000244140625,0.15283203125,0.10275722295045853,0.07500527799129486,0.07500527799129486,0.033958159387111664,0.025196421891450882,0.05519641935825348,0.02736583910882473,0.9065755605697632,0.9065755605697632,0.9065755605697632,0.0,0.9835108518600464,0.8352501392364502,0.6025211811065674,0.6409212350845337,0.0005527291796170175,0.29086822271347046,5.180214066058397e-05,0.0107421875,0.6936472058296204,1.2207536315145262e-08,0.036263611167669296,18946.775390625,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-15_13-31-34/model_1300.pt
model_1350.pt,1350,1350,1350,0.000732421875,0.990234375,0.883544921875,0.170654296875,0.773681640625,0.974365234375,0.7353515625,0.773681640625,0.773681640625,0.990234375,0.771240234375,0.771240234375,0.000732421875,0.18212890625,0.1023314967751503,0.07468020170927048,0.07468020170927048,0.03484532982110977,0.02571737766265869,0.05571737885475159,0.029572024941444397,0.9081449508666992,0.9081449508666992,0.9081449508666992,0.0,0.9871609807014465,0.8326864838600159,0.5981348752975464,0.6313120126724243,0.0005551280919462442,0.261996328830719,6.020794899086468e-05,0.011962890625,0.6719475984573364,1.4676114545864039e-08,0.03600050508975983,15968.2724609375,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-15_13-31-34/model_1350.pt
model_1400.pt,1400,1400,1400,0.00048828125,0.96923828125,0.747802734375,0.07275390625,0.6474609375,0.92431640625,0.54345703125,0.6474609375,0.6474609375,0.96923828125,0.56640625,0.564208984375,0.00048828125,0.1591796875,0.11741846799850464,0.09306936711072922,0.09306936711072922,0.05956364423036575,0.048557013273239136,0.07855701446533203,0.05151788890361786,0.8952484130859375,0.8952484130859375,0.8952484130859375,0.0,0.9354037046432495,0.7770137786865234,0.5589464902877808,0.61285400390625,0.00026656402042135596,0.3848925232887268,3.593658402678557e-05,0.0068359375,0.5429128408432007,1.4204990073096724e-08,0.03641226887702942,13535.85546875,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-15_13-31-34/model_1400.pt
model_1450.pt,1450,1450,1450,0.000244140625,0.978515625,0.7587890625,0.059326171875,0.591552734375,0.9453125,0.506103515625,0.591552734375,0.591552734375,0.978515625,0.547119140625,0.54443359375,0.000244140625,0.171630859375,0.11200592666864395,0.08621346950531006,0.08621346950531006,0.04859063774347305,0.03776288032531738,0.06776288151741028,0.04339347034692764,0.9161932468414307,0.9161932468414307,0.9161932468414307,0.0,0.9453125,0.8160614967346191,0.5863439440727234,0.6279841661453247,0.0004935910110361874,0.4360654950141907,4.871139753959142e-05,0.009521484375,0.5873805284500122,1.2811053551331497e-08,0.03622209653258324,14774.2646484375,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-15_13-31-34/model_1450.pt
model_1500.pt,1500,1500,1500,0.0,0.982666015625,0.778564453125,0.10009765625,0.600341796875,0.976806640625,0.53857421875,0.600341796875,0.600341796875,0.982666015625,0.58349609375,0.57763671875,0.0,0.14111328125,0.1056741401553154,0.07876366376876831,0.07876366376876831,0.039793357253074646,0.02911887876689434,0.05911887809634209,0.03414887934923172,0.9090195894241333,0.9090195894241333,0.9090195894241333,0.0,0.9781461954116821,0.8443917632102966,0.607734203338623,0.6361321806907654,0.00036995456321164966,0.4267454445362091,3.692959944601171e-05,0.007568359375,0.6033360958099365,1.2096775137138138e-08,0.038220182061195374,13621.158203125,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-15_13-31-34/model_1500.pt
model_1548.pt,1548,1548,1548,0.000244140625,0.986328125,0.917236328125,0.23388671875,0.870361328125,0.986328125,0.81884765625,0.870361328125,0.870361328125,0.986328125,0.826416015625,0.820556640625,0.000244140625,0.133544921875,0.09961579740047455,0.07236537337303162,0.07236537337303162,0.036826543509960175,0.028495822101831436,0.05849582329392433,0.02985350787639618,0.9077466726303101,0.9077466726303101,0.9077466726303101,0.0,0.986328125,0.7956183552742004,0.5709028840065002,0.6485042572021484,0.0008456815266981721,0.17202475666999817,6.186078826431185e-05,0.011962890625,0.6540575623512268,1.3253376174304776e-08,0.037209250032901764,16779.35546875,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-15_13-31-34/model_1548.pt
