checkpoint,iteration,target_step,nearest_success_step,success_rate,stage1_alignment_ready_rate,pregrasp_entry_success_rate,pregrasp_entry_ready_rate,pregrasp_entry_reached_rate,pregrasp_success_rate,pregrasp_hold_ready_rate,pregrasp_held_rate,stage2_pregrasp_ready_rate,stage2_alignment_ready_rate,stage3_insertion_ready_rate,stage3_touch_ready_rate,stage4_center_ready_rate,stage4_push_ready_rate,mean_pregrasp_entry_distance,mean_pregrasp_distance,mean_gripper_center_pregrasp_distance,mean_touch_target_distance,mean_touch_error,mean_distance,mean_insertion_lateral_error,mean_alignment,mean_pregrasp_alignment,mean_insertion_alignment,mean_target_contact_penalty,mean_pregrasp_center_progress,mean_insertion_progress,mean_center_push_progress,mean_best_center_push_progress,mean_center_push_improvement,mean_best_target_center_distance,mean_target_center_improvement,mean_target_center_shell_improvement,mean_center_shortest_path_score,mean_stage4_time_pressure,mean_pregrasp_line_error,min_distance,mean_reward,path
model_1550.pt,1550,1550,1550,0.000244140625,0.978515625,0.796875,0.21826171875,0.80810546875,0.955322265625,0.694091796875,0.80810546875,0.80810546875,0.978515625,0.698486328125,0.685302734375,0.000244140625,0.152587890625,0.10604015737771988,0.0806325376033783,0.0806325376033783,0.04929725080728531,0.03944436460733414,0.06944437325000763,0.041201770305633545,0.9059728384017944,0.9059728384017944,0.9059728384017944,0.0,0.9583443403244019,0.7685507535934448,0.5518351793289185,0.631336510181427,0.0006030016811564565,0.23353078961372375,6.118543387856334e-05,0.011474609375,0.564836323261261,0.3843522071838379,1.3270827103895044e-08,0.03672083467245102,3460.748046875,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-15_13-43-44/model_1550.pt
model_1600.pt,1600,1600,1600,0.00048828125,1.0,0.838623046875,0.1591796875,0.8271484375,0.99755859375,0.735107421875,0.8271484375,0.8271484375,1.0,0.79150390625,0.7861328125,0.00048828125,0.19921875,0.09939469397068024,0.07137905061244965,0.07137905061244965,0.03067178465425968,0.021842429414391518,0.051842428743839264,0.02579273283481598,0.9226829409599304,0.9226829409599304,0.9226829409599304,0.0,1.0,0.8408584594726562,0.6045380234718323,0.668278157711029,0.0005471014301292598,0.21365049481391907,6.008554919390008e-05,0.011962890625,0.673416256904602,0.4132959246635437,1.3899267514716485e-08,0.03657753765583038,16628.873046875,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-15_13-43-44/model_1600.pt
model_1650.pt,1650,1650,1650,0.0,0.9921875,0.81982421875,0.086669921875,0.697509765625,0.98779296875,0.625244140625,0.697509765625,0.697509765625,0.9921875,0.667724609375,0.66015625,0.0,0.19189453125,0.10311883687973022,0.07561305165290833,0.07561305165290833,0.03422658145427704,0.024376658722758293,0.05437666177749634,0.029674742370843887,0.90073561668396,0.90073561668396,0.90073561668396,0.0,0.9881452322006226,0.8507149815559387,0.6120120286941528,0.6512157320976257,0.0005907730665057898,0.3445545434951782,5.823584069730714e-05,0.0126953125,0.6436351537704468,0.3031054735183716,1.4090622002527198e-08,0.03680308535695076,15785.498046875,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-15_13-43-44/model_1650.pt
model_1700.pt,1700,1700,1700,0.0,0.998779296875,0.90478515625,0.103271484375,0.74951171875,0.998779296875,0.72314453125,0.74951171875,0.74951171875,0.998779296875,0.7470703125,0.7421875,0.0,0.18896484375,0.09894166141748428,0.07030560076236725,0.07030560076236725,0.02542232908308506,0.017776969820261,0.0477769672870636,0.02093452960252762,0.9075990915298462,0.9075990915298462,0.9075990915298462,0.0,0.9979368448257446,0.8593977093696594,0.6169970035552979,0.6564246416091919,0.0004524086252786219,0.2850646674633026,5.44611357327085e-05,0.010009765625,0.7395797371864319,0.41603517532348633,1.2935623239229699e-08,0.03437315672636032,17260.4296875,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-15_13-43-44/model_1700.pt
model_1750.pt,1750,1750,1750,0.0009765625,0.970458984375,0.79150390625,0.0712890625,0.77685546875,0.9658203125,0.68212890625,0.77685546875,0.77490234375,0.970458984375,0.769775390625,0.764404296875,0.0009765625,0.295654296875,0.10644892603158951,0.0792308896780014,0.0792308896780014,0.036505311727523804,0.02700587920844555,0.057005878537893295,0.03030436672270298,0.8652386665344238,0.8652386665344238,0.8652386665344238,0.0,0.9727270603179932,0.8504434823989868,0.6134607791900635,0.6481592655181885,0.0008454298367723823,0.26006144285202026,7.314464164664969e-05,0.013916015625,0.6751902103424072,0.43161702156066895,1.1752644191176387e-08,0.0356593132019043,19214.24609375,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-15_13-43-44/model_1750.pt
model_1800.pt,1800,1800,1800,0.000244140625,0.982666015625,0.838623046875,0.127197265625,0.76220703125,0.982666015625,0.691162109375,0.76220703125,0.76220703125,0.982666015625,0.74072265625,0.73583984375,0.000244140625,0.18115234375,0.10272592306137085,0.07482749223709106,0.07482749223709106,0.0318637415766716,0.0239074919372797,0.05390749126672745,0.025639120489358902,0.894418478012085,0.894418478012085,0.894418478012085,0.0,0.982666015625,0.8409963250160217,0.6064871549606323,0.6452264785766602,0.0007471583085134625,0.2739664912223816,6.318003579508513e-05,0.01220703125,0.7272259593009949,0.39258626103401184,1.5072481929223613e-08,0.03662627935409546,19468.5703125,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-15_13-43-44/model_1800.pt
model_1847.pt,1847,1847,1847,0.0,0.97802734375,0.896484375,0.141357421875,0.80810546875,0.984375,0.76904296875,0.80810546875,0.800048828125,0.97802734375,0.791015625,0.7890625,0.0,0.201171875,0.10092233121395111,0.0731935128569603,0.0731935128569603,0.034171752631664276,0.024660583585500717,0.054660581052303314,0.029421817511320114,0.8866511583328247,0.8866511583328247,0.8866511583328247,0.0,0.9866999387741089,0.8297500014305115,0.5961556434631348,0.6590405106544495,0.0005959315458312631,0.23007649183273315,6.30168869975023e-05,0.01171875,0.6514863967895508,0.4191690981388092,1.4507778089978274e-08,0.03709334507584572,17739.443359375,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-15_13-43-44/model_1847.pt
