checkpoint,iteration,target_step,nearest_success_step,success_rate,stage1_alignment_ready_rate,pregrasp_success_rate,pregrasp_hold_ready_rate,pregrasp_held_rate,stage2_pregrasp_ready_rate,stage2_alignment_ready_rate,stage3_insertion_ready_rate,stage3_touch_ready_rate,mean_pregrasp_distance,mean_gripper_center_pregrasp_distance,mean_touch_target_distance,mean_touch_error,mean_distance,mean_insertion_lateral_error,mean_alignment,mean_pregrasp_alignment,mean_insertion_alignment,mean_target_contact_penalty,mean_insertion_progress,mean_pregrasp_line_error,min_distance,mean_reward,path
model_0.pt,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32205167412757874,0.32205167412757874,0.3690609931945801,0.3601359724998474,0.40013596415519714,0.23708786070346832,-0.5549424290657043,0.8192501664161682,-0.5549424290657043,0.0,0.0,1.0687478457782618e-08,0.3414078652858734,-2.8886802196502686,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-15_11-47-19/model_0.pt
model_50.pt,50,50,50,0.0,0.34765625,0.25,0.0,0.0625,0.048828125,0.34765625,0.0,0.0,0.17552244663238525,0.17552244663238525,0.17724750936031342,0.15129069983959198,0.1912906914949417,0.1558387577533722,0.5896012783050537,-0.5752596259117126,0.5896012783050537,0.0,0.4406633973121643,1.9153198138610605e-08,0.06613241136074066,691.9988403320312,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-15_11-47-19/model_50.pt
model_100.pt,100,100,100,0.0,0.6640625,0.212890625,0.091796875,0.154296875,0.1171875,0.6640625,0.0,0.0,0.17221617698669434,0.17221617698669434,0.19056060910224915,0.17211875319480896,0.2121187448501587,0.15981364250183105,0.6550715565681458,-0.36959928274154663,0.6550715565681458,0.0,0.21110403537750244,1.6485657283737964e-08,0.10423789918422699,1549.7159423828125,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-15_11-47-19/model_100.pt
model_150.pt,150,150,150,0.0,0.91796875,0.14453125,0.0,0.0,0.0,0.91796875,0.0,0.0,0.16869312524795532,0.16869312524795532,0.14763735234737396,0.10881568491458893,0.14881563186645508,0.13389891386032104,0.8770819306373596,0.12569546699523926,0.8770819306373596,0.0,0.8307416439056396,1.5858194757356614e-08,0.057451874017715454,1525.810302734375,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-15_11-47-19/model_150.pt
model_200.pt,200,200,200,0.001953125,0.900390625,0.265625,0.015625,0.078125,0.078125,0.900390625,0.001953125,0.001953125,0.1571185290813446,0.1571185290813446,0.13469716906547546,0.09749161452054977,0.1374916136264801,0.1252242773771286,0.8756214380264282,0.0625535100698471,0.8756214380264282,0.0,0.8940514326095581,1.2855869258032726e-08,0.0778525322675705,1451.194091796875,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-15_11-47-19/model_200.pt
model_250.pt,250,250,250,0.0,0.970703125,0.17578125,0.0,0.0,0.0,0.970703125,0.0,0.0,0.1486971527338028,0.1486971527338028,0.11878198385238647,0.07584074139595032,0.11584074795246124,0.10823874920606613,0.9331143498420715,-0.2138323187828064,0.9331143498420715,0.0,0.9177289009094238,1.1182885728544534e-08,0.0589095801115036,2080.794921875,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-15_11-47-19/model_250.pt
model_299.pt,299,299,299,0.0,0.98828125,0.712890625,0.2421875,0.31640625,0.31640625,0.98828125,0.01171875,0.0,0.10828651487827301,0.10828651487827301,0.11938434094190598,0.10005106776952744,0.14005106687545776,0.09013943374156952,0.964180588722229,-0.149257630109787,0.964180588722229,0.0,0.40404653549194336,1.2969819884744993e-08,0.05911850929260254,2109.39453125,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-15_11-47-19/model_299.pt
