checkpoint,iteration,target_step,nearest_success_step,success_rate,stage1_alignment_ready_rate,pregrasp_entry_success_rate,pregrasp_entry_ready_rate,pregrasp_entry_reached_rate,pregrasp_success_rate,pregrasp_hold_ready_rate,pregrasp_held_rate,stage2_pregrasp_ready_rate,stage2_alignment_ready_rate,stage3_insertion_ready_rate,stage3_touch_ready_rate,stage4_center_ready_rate,stage4_push_ready_rate,mean_pregrasp_entry_distance,mean_pregrasp_distance,mean_gripper_center_pregrasp_distance,mean_touch_target_distance,mean_touch_error,mean_distance,mean_insertion_lateral_error,mean_alignment,mean_pregrasp_alignment,mean_insertion_alignment,mean_target_contact_penalty,mean_pregrasp_center_progress,mean_insertion_progress,mean_center_push_progress,mean_best_target_center_distance,mean_target_center_improvement,mean_pregrasp_line_error,min_distance,mean_reward,path
model_900.pt,900,900,900,0.0,0.914306640625,0.921142578125,0.564697265625,0.70361328125,0.921875,0.69921875,0.70361328125,0.69921875,0.914306640625,0.69921875,0.697509765625,0.0,0.46630859375,0.10447318851947784,0.0788167342543602,0.0788167342543602,0.0521722137928009,0.04785783588886261,0.0778578370809555,0.03512445092201233,0.7829974889755249,0.7829974889755249,0.7829974889755249,0.0,0.9228893518447876,0.6862175464630127,0.492125928401947,0.36047959327697754,0.0001518285571364686,1.266351823403511e-08,0.0412975437939167,686.3973388671875,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-15_12-55-21/model_900.pt
model_950.pt,950,950,950,0.0,0.963134765625,0.929443359375,0.370361328125,0.842529296875,0.93212890625,0.842041015625,0.842529296875,0.842529296875,0.963134765625,0.8388671875,0.828857421875,0.0,0.729736328125,0.10236390680074692,0.0765104591846466,0.0765104591846466,0.04535449296236038,0.04022194445133209,0.07022193819284439,0.03052714839577675,0.8573260307312012,0.8573260307312012,0.8573260307312012,0.0,0.9319121837615967,0.7289184331893921,0.5227710008621216,0.20205876231193542,6.84746919432655e-05,1.4079896359930899e-08,0.04001329094171524,14064.6171875,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-15_12-55-21/model_950.pt
model_1000.pt,1000,1000,1000,0.0,0.995361328125,0.9404296875,0.207763671875,0.7705078125,0.98681640625,0.75390625,0.7705078125,0.7705078125,0.995361328125,0.7705078125,0.7705078125,0.0,0.744140625,0.09769406914710999,0.0686887800693512,0.0686887800693512,0.02379681169986725,0.018032215535640717,0.04803221672773361,0.017178412526845932,0.8996047973632812,0.8996047973632812,0.8996047973632812,0.0,0.9950433969497681,0.8398839235305786,0.6047009825706482,0.26292309165000916,3.613586159190163e-05,1.1936109878263323e-08,0.03654380142688751,13563.513671875,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-15_12-55-21/model_1000.pt
model_1050.pt,1050,1050,1050,0.0,0.92626953125,0.789794921875,0.214599609375,0.801513671875,0.91796875,0.700439453125,0.801513671875,0.793212890625,0.92626953125,0.77880859375,0.77734375,0.0,0.712158203125,0.11106283217668533,0.08564145117998123,0.08564145117998123,0.05077486112713814,0.041857652366161346,0.07185765355825424,0.036950234323740005,0.8501128554344177,0.8501128554344177,0.8501128554344177,0.0,0.9345703125,0.7883804440498352,0.5749326348304749,0.2365742325782776,3.972386912209913e-05,1.3441578516903974e-08,0.036431100219488144,11964.25,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-15_12-55-21/model_1050.pt
model_1100.pt,1100,1100,1100,0.0,0.95068359375,0.863037109375,0.229736328125,0.853271484375,0.968017578125,0.754638671875,0.853271484375,0.8232421875,0.95068359375,0.81982421875,0.818603515625,0.0,0.75048828125,0.101590096950531,0.07386281341314316,0.07386281341314316,0.034761764109134674,0.027236221358180046,0.05723622441291809,0.024039221927523613,0.8642497062683105,0.8642497062683105,0.8642497062683105,0.0,0.9842716455459595,0.8144533634185791,0.589213490486145,0.1855616569519043,3.569664841052145e-05,1.2112028713318068e-08,0.03874962776899338,12364.279296875,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-15_12-55-21/model_1100.pt
model_1149.pt,1149,1149,1149,0.0,0.910888671875,0.788330078125,0.31005859375,0.857177734375,0.873291015625,0.766845703125,0.857177734375,0.847412109375,0.910888671875,0.839599609375,0.839599609375,0.0,0.760498046875,0.1321491003036499,0.1070031151175499,0.1070031151175499,0.07342219352722168,0.06503711640834808,0.09503711760044098,0.061760906130075455,0.7963171005249023,0.7963171005249023,0.7963171005249023,0.0,0.9211814999580383,0.748854398727417,0.5534763336181641,0.1819203943014145,4.163521225564182e-05,1.3630994999402901e-08,0.037408750504255295,12727.400390625,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-15_12-55-21/model_1149.pt
