checkpoint,iteration,target_step,nearest_success_step,success_rate,stage1_alignment_ready_rate,pregrasp_entry_success_rate,pregrasp_entry_ready_rate,pregrasp_entry_reached_rate,pregrasp_success_rate,pregrasp_hold_ready_rate,pregrasp_held_rate,stage2_pregrasp_ready_rate,stage2_alignment_ready_rate,stage3_insertion_ready_rate,stage3_touch_ready_rate,stage4_center_ready_rate,stage4_push_ready_rate,mean_pregrasp_entry_distance,mean_pregrasp_distance,mean_gripper_center_pregrasp_distance,mean_touch_target_distance,mean_touch_error,mean_distance,mean_insertion_lateral_error,mean_alignment,mean_pregrasp_alignment,mean_insertion_alignment,mean_target_contact_penalty,mean_pregrasp_center_progress,mean_insertion_progress,mean_center_push_progress,mean_best_center_push_progress,mean_center_push_improvement,mean_best_target_center_distance,mean_target_center_improvement,mean_target_center_shell_improvement,mean_center_shortest_path_score,mean_stage4_time_pressure,mean_pregrasp_line_error,min_distance,mean_reward,path
model_1600.pt,1600,1600,1600,0.014404296875,0.94384765625,0.849853515625,0.19970703125,0.37841796875,0.9453125,0.34521484375,0.37841796875,0.377685546875,0.94384765625,0.373291015625,0.366943359375,0.014404296875,0.05615234375,0.10824640095233917,0.08221904933452606,0.08221904933452606,0.04694465547800064,0.038439225405454636,0.06843922287225723,0.036390140652656555,0.8356250524520874,0.8356250524520874,0.8356250524520874,0.0,0.9453125,0.7899720072746277,0.5669831037521362,0.5507720112800598,0.0030010524205863476,0.6663490533828735,0.0002521512797102332,0.043212890625,0.6251078248023987,0.12693360447883606,1.3330140546941038e-08,0.036232735961675644,1654.168701171875,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-15_13-55-22/model_1600.pt
model_1650.pt,1650,1650,1650,0.0009765625,0.988037109375,0.855712890625,0.30224609375,0.653564453125,0.988037109375,0.63134765625,0.653564453125,0.653564453125,0.988037109375,0.65234375,0.65234375,0.0009765625,0.03515625,0.0988752543926239,0.07189804315567017,0.07189804315567017,0.04077576845884323,0.03110775351524353,0.061107754707336426,0.0340299978852272,0.9004522562026978,0.9004522562026978,0.9004522562026978,0.0,0.988037109375,0.7836704254150391,0.562630295753479,0.5998963117599487,0.00022545266256202012,0.38293811678886414,3.6983939935453236e-05,0.0068359375,0.5685598850250244,0.3289868235588074,1.4193760833336455e-08,0.043935567140579224,11381.966796875,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-15_13-55-22/model_1650.pt
model_1700.pt,1700,1700,1700,0.00048828125,0.9853515625,0.8359375,0.30224609375,0.702880859375,0.939453125,0.6513671875,0.702880859375,0.702880859375,0.9853515625,0.65625,0.6533203125,0.00048828125,0.029052734375,0.10217999666929245,0.07556947320699692,0.07556947320699692,0.04342343285679817,0.034199465066194534,0.06419946253299713,0.036625415086746216,0.8812094926834106,0.8812094926834106,0.8812094926834106,0.0,0.9789861440658569,0.7823671102523804,0.5611507892608643,0.5959919691085815,0.0003908580110874027,0.3347872793674469,3.41542181558907e-05,0.00634765625,0.5993763208389282,0.36198732256889343,1.2112131742014753e-08,0.04513465613126755,14224.24609375,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-15_13-55-22/model_1700.pt
model_1750.pt,1750,1750,1750,0.000732421875,0.980224609375,0.937255859375,0.380126953125,0.777099609375,0.9765625,0.762939453125,0.7763671875,0.7763671875,0.980224609375,0.773681640625,0.771240234375,0.000732421875,0.017822265625,0.09813978523015976,0.07065236568450928,0.07065236568450928,0.036896154284477234,0.030340341851115227,0.06034034118056297,0.02761262282729149,0.8969083428382874,0.8969083428382874,0.8969083428382874,0.0,0.9745022058486938,0.7700735926628113,0.5522638559341431,0.5855017304420471,0.0006059928564354777,0.26786482334136963,4.212682688375935e-05,0.00927734375,0.7103791236877441,0.38879233598709106,1.4238755952078463e-08,0.04342431575059891,14803.328125,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-15_13-55-22/model_1750.pt
model_1800.pt,1800,1800,1800,0.0,0.99658203125,0.92431640625,0.386962890625,0.777587890625,0.986328125,0.76220703125,0.777587890625,0.777587890625,0.99658203125,0.767333984375,0.766357421875,0.0,0.01171875,0.09533431380987167,0.06804656982421875,0.06804656982421875,0.03689899295568466,0.02927481383085251,0.059274815022945404,0.02838028222322464,0.9117127656936646,0.9117127656936646,0.9117127656936646,0.0,0.9831185340881348,0.7652473449707031,0.5488114356994629,0.5919034481048584,0.00033641449408605695,0.2632163465023041,2.708354077185504e-05,0.004638671875,0.6474233865737915,0.36122721433639526,1.2257769910206662e-08,0.04749447852373123,13932.7861328125,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-15_13-55-22/model_1800.pt
model_1850.pt,1850,1850,1850,0.0,0.996826171875,0.875244140625,0.267578125,0.845458984375,0.986083984375,0.758056640625,0.8447265625,0.8447265625,0.996826171875,0.791015625,0.7890625,0.0,0.0546875,0.09812773019075394,0.07129549980163574,0.07129549980163574,0.039129164069890976,0.030036892741918564,0.06003689020872116,0.03201860189437866,0.909922182559967,0.909922182559967,0.909922182559967,0.0,0.983182966709137,0.7846372723579407,0.5627119541168213,0.605087399482727,0.00043538110912777483,0.20840142667293549,3.510934766381979e-05,0.006103515625,0.591842770576477,0.4748608469963074,1.2441741858992827e-08,0.04506995528936386,15796.6064453125,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-15_13-55-22/model_1850.pt
model_1899.pt,1899,1899,1899,0.0,0.98193359375,0.89404296875,0.3388671875,0.85595703125,0.967041015625,0.796630859375,0.85595703125,0.85595703125,0.98193359375,0.80322265625,0.801025390625,0.0,0.0087890625,0.09965507686138153,0.07309060543775558,0.07309060543775558,0.04200015217065811,0.03443261235952377,0.06443260610103607,0.03281072527170181,0.9002699255943298,0.9002699255943298,0.9002699255943298,0.0,0.9669340252876282,0.7570663690567017,0.5429368019104004,0.5960673093795776,0.00035530864261090755,0.19855044782161713,3.2790794648462906e-05,0.007080078125,0.6431958079338074,0.4427262544631958,1.2319220310530454e-08,0.043915845453739166,16658.712890625,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-15_13-55-22/model_1899.pt
