checkpoint,iteration,target_step,nearest_success_step,success_rate,pregrasp_success_rate,stage2_alignment_ready_rate,stage3_insertion_ready_rate,stage3_touch_ready_rate,mean_pregrasp_distance,mean_touch_target_distance,mean_touch_error,mean_distance,mean_insertion_lateral_error,mean_alignment,mean_pregrasp_alignment,mean_insertion_alignment,mean_target_contact_penalty,mean_insertion_progress,min_distance,mean_reward,path
model_500.pt,500,500,500,0.000732421875,0.6845703125,0.8857421875,0.5556640625,0.000732421875,0.09084860235452652,0.11256979405879974,0.1012401431798935,0.14124013483524323,0.07892531901597977,0.8117241859436035,-0.07027089595794678,0.8117241859436035,0.0,0.14675940573215485,0.08638884127140045,3370.468994140625,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-14_18-42-19/model_500.pt
model_550.pt,550,550,550,0.001708984375,0.783935546875,0.896484375,0.69189453125,0.001708984375,0.07242410629987717,0.09786181151866913,0.09006259590387344,0.13006259500980377,0.05991414934396744,0.8034451603889465,-0.1639552116394043,0.8034451603889465,0.0,0.09177142381668091,0.08455204963684082,3339.349853515625,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-14_18-42-19/model_550.pt
model_600.pt,600,600,600,0.000244140625,0.789306640625,0.901123046875,0.636474609375,0.000244140625,0.07297683507204056,0.0976269543170929,0.08867072314023972,0.12867072224617004,0.06188095733523369,0.8077812194824219,-0.2168402075767517,0.8077812194824219,0.0,0.12461623549461365,0.0862535685300827,3224.4541015625,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-14_18-42-19/model_600.pt
model_650.pt,650,650,650,0.000244140625,0.710205078125,0.819091796875,0.58984375,0.000244140625,0.08738891780376434,0.11140777170658112,0.10120546817779541,0.14120545983314514,0.07329730689525604,0.763121485710144,-0.13923504948616028,0.763121485710144,0.0,0.14904972910881042,0.08289267867803574,3172.244140625,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-14_18-42-19/model_650.pt
model_700.pt,700,700,700,0.0009765625,0.71435546875,0.83251953125,0.542236328125,0.0009765625,0.08903821557760239,0.11074768006801605,0.10004501044750214,0.14004501700401306,0.07450738549232483,0.7553834915161133,-0.14964526891708374,0.7553834915161133,0.0,0.15468019247055054,0.07828293740749359,3215.61376953125,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-14_18-42-19/model_700.pt
model_750.pt,750,750,750,0.0,0.804443359375,0.906982421875,0.636474609375,0.0,0.07413086295127869,0.09992195665836334,0.09180375188589096,0.1318037509918213,0.058002814650535583,0.8330413103103638,-0.14762067794799805,0.8330413103103638,0.0,0.10295999050140381,0.08680955320596695,3272.574462890625,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-14_18-42-19/model_750.pt
model_800.pt,800,800,800,0.0,0.840576171875,0.935546875,0.626220703125,0.0,0.06283482164144516,0.08686845004558563,0.07778694480657578,0.1177869439125061,0.04893305152654648,0.8537139892578125,-0.24865075945854187,0.8537139892578125,0.0,0.15226483345031738,0.08265015482902527,3226.38427734375,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-14_18-42-19/model_800.pt
model_850.pt,850,850,850,0.000244140625,0.76611328125,0.902099609375,0.603271484375,0.000244140625,0.08207165449857712,0.10442078858613968,0.09368640929460526,0.13368640840053558,0.06568588316440582,0.8192800283432007,-0.15875130891799927,0.8192800283432007,0.0,0.15639233589172363,0.08045292645692825,3476.157958984375,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-14_18-42-19/model_850.pt
model_900.pt,900,900,900,0.0,0.809814453125,0.929443359375,0.59423828125,0.0,0.0719081312417984,0.09528185427188873,0.08544889092445374,0.12544889748096466,0.054914411157369614,0.8453115224838257,-0.19109293818473816,0.8453115224838257,0.0,0.14438576996326447,0.07594142854213715,3354.107666015625,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-14_18-42-19/model_900.pt
model_950.pt,950,950,950,0.00048828125,0.8017578125,0.912353515625,0.61328125,0.00048828125,0.07421648502349854,0.09583642333745956,0.08537478744983673,0.12537479400634766,0.058866165578365326,0.8359394073486328,-0.14583495259284973,0.8359394073486328,0.0,0.1690334677696228,0.06601213663816452,3388.304931640625,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-14_18-42-19/model_950.pt
model_999.pt,999,999,999,0.000244140625,0.79541015625,0.89501953125,0.4619140625,0.000244140625,0.08292453736066818,0.10119179636240005,0.08940702676773071,0.12940701842308044,0.07009109854698181,0.838800847530365,-0.08196116238832474,0.838800847530365,0.0,0.18029411137104034,0.0707460418343544,3383.929443359375,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-14_18-42-19/model_999.pt
