checkpoint,iteration,target_step,nearest_success_step,success_rate,pregrasp_success_rate,stage2_alignment_ready_rate,stage3_insertion_ready_rate,mean_pregrasp_distance,mean_touch_target_distance,mean_distance,mean_insertion_lateral_error,mean_alignment,mean_pregrasp_alignment,mean_insertion_alignment,mean_target_contact_penalty,mean_insertion_progress,min_distance,mean_reward,path
model_0.pt,0,0,0,0.0,0.0,0.0,0.0,0.3474930226802826,0.37656494975090027,0.4074852466583252,0.24360144138336182,-0.5544142723083496,0.764543890953064,-0.5544142723083496,0.0,0.0,0.34850603342056274,0.5274019241333008,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-14_17-37-15/model_0.pt
model_50.pt,50,50,50,0.0,0.236328125,0.97265625,0.03125,0.15286558866500854,0.1428767591714859,0.14324891567230225,0.10998861491680145,0.8894004821777344,-0.2629144787788391,0.8894004821777344,7.344795449171215e-06,0.7120041847229004,0.06525388360023499,1054.6904296875,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-14_17-37-15/model_50.pt
model_100.pt,100,100,100,0.0,0.00390625,0.896484375,0.0,0.18612542748451233,0.17695996165275574,0.17571675777435303,0.15048600733280182,0.8547623753547668,0.1622588336467743,0.8547623753547668,0.0005408940487541258,0.7630802989006042,0.10295272618532181,1556.7501220703125,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-14_17-37-15/model_100.pt
model_150.pt,150,150,150,0.0,0.03515625,0.9609375,0.0,0.1550823450088501,0.14462456107139587,0.14495989680290222,0.13619732856750488,0.9274908304214478,0.12097499519586563,0.9274908304214478,0.0,0.8779126405715942,0.0859455019235611,1639.425048828125,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-14_17-37-15/model_150.pt
model_200.pt,200,200,200,0.0,0.078125,0.84375,0.0,0.16869167983531952,0.16486969590187073,0.17099352180957794,0.1505388617515564,0.8183135390281677,0.2970937192440033,0.8183135390281677,0.0,0.6333683729171753,0.09696485847234726,1786.9979248046875,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-14_17-37-15/model_200.pt
model_250.pt,250,250,250,0.0,0.03125,0.982421875,0.0,0.17161300778388977,0.16325721144676208,0.1645357310771942,0.15724024176597595,0.942623496055603,0.30623000860214233,0.942623496055603,0.0,0.8151383399963379,0.11179099977016449,1704.8861083984375,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-14_17-37-15/model_250.pt
model_299.pt,299,299,299,0.0,0.083984375,0.97265625,0.0,0.14209532737731934,0.1376115381717682,0.14438331127166748,0.13326585292816162,0.959344744682312,0.2400616556406021,0.959344744682312,0.0,0.6196829676628113,0.10481493175029755,1688.18798828125,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-14_17-37-15/model_299.pt
