checkpoint,iteration,target_step,nearest_success_step,success_rate,stage1_alignment_ready_rate,pregrasp_entry_success_rate,pregrasp_entry_ready_rate,pregrasp_entry_reached_rate,pregrasp_success_rate,pregrasp_hold_ready_rate,pregrasp_held_rate,stage2_pregrasp_ready_rate,stage2_alignment_ready_rate,stage3_insertion_ready_rate,stage3_touch_ready_rate,stage4_center_ready_rate,mean_pregrasp_entry_distance,mean_pregrasp_distance,mean_gripper_center_pregrasp_distance,mean_touch_target_distance,mean_touch_error,mean_distance,mean_insertion_lateral_error,mean_alignment,mean_pregrasp_alignment,mean_insertion_alignment,mean_target_contact_penalty,mean_pregrasp_center_progress,mean_insertion_progress,mean_best_target_center_distance,mean_target_center_improvement,mean_pregrasp_line_error,min_distance,mean_reward,path
model_750.pt,750,750,750,0.0,0.88720703125,0.85205078125,0.18798828125,0.36376953125,0.880859375,0.3623046875,0.36376953125,0.3623046875,0.88720703125,0.3623046875,0.35986328125,0.0,0.11790483444929123,0.09393078088760376,0.09393078088760376,0.06405650079250336,0.05461515486240387,0.08461515605449677,0.05197010934352875,0.7816441655158997,0.7816441655158997,0.7816441655158997,0.0,0.904373288154602,0.7378735542297363,0.666912853717804,0.0001226701569976285,1.4394569092246456e-08,0.03588910773396492,432.41595458984375,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-15_12-31-14/model_750.pt
model_800.pt,800,800,800,0.0,0.95947265625,0.89306640625,0.254150390625,0.64404296875,0.98291015625,0.61376953125,0.64404296875,0.620849609375,0.95947265625,0.618408203125,0.60693359375,0.0,0.09950679540634155,0.0717398077249527,0.0717398077249527,0.035379014909267426,0.026066787540912628,0.056066788733005524,0.028874393552541733,0.8681710958480835,0.8681710958480835,0.8681710958480835,0.0,0.9869430065155029,0.8125779628753662,0.3911069929599762,5.3702220611739904e-05,1.2759986844912419e-08,0.036203186959028244,5024.994140625,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-15_12-31-14/model_800.pt
model_850.pt,850,850,850,0.000244140625,0.9638671875,0.9130859375,0.525146484375,0.876220703125,0.94189453125,0.86083984375,0.876220703125,0.872802734375,0.9638671875,0.872314453125,0.78173828125,0.000244140625,0.09871076047420502,0.07184288650751114,0.07184288650751114,0.045834995806217194,0.03943217545747757,0.06943216919898987,0.032704517245292664,0.8550976514816284,0.8550976514816284,0.8550976514816284,0.0,0.9690210223197937,0.7102590799331665,0.16823217272758484,5.4566993640037253e-05,1.179205710855058e-08,0.03681205213069916,7607.017578125,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-15_12-31-14/model_850.pt
model_900.pt,900,900,900,0.000244140625,0.972900390625,0.954345703125,0.660888671875,0.9375,0.957763671875,0.930419921875,0.9375,0.930419921875,0.972900390625,0.929931640625,0.9169921875,0.000244140625,0.09372089803218842,0.06618805229663849,0.06618805229663849,0.03817085921764374,0.03427979350090027,0.06427979469299316,0.024937763810157776,0.8609586954116821,0.8609586954116821,0.8609586954116821,0.0,0.9701886177062988,0.7004839181900024,0.10723148286342621,4.2013802158180624e-05,1.3118444996962353e-08,0.03963880240917206,8838.32421875,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-15_12-31-14/model_900.pt
model_950.pt,950,950,950,0.000732421875,0.97216796875,0.9404296875,0.185546875,0.859619140625,0.95263671875,0.8564453125,0.859130859375,0.859130859375,0.97216796875,0.85546875,0.849609375,0.000732421875,0.1011313945055008,0.07489365339279175,0.07489365339279175,0.041343577206134796,0.03432522341609001,0.0643252283334732,0.03191560134291649,0.899268627166748,0.899268627166748,0.899268627166748,0.0,0.9524436593055725,0.7604590654373169,0.18448752164840698,7.313553942367435e-05,1.269864124964215e-08,0.036059364676475525,9302.87109375,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-15_12-31-14/model_950.pt
model_1000.pt,1000,1000,1000,0.0,0.99853515625,0.9482421875,0.29248046875,0.9150390625,0.989990234375,0.897216796875,0.9150390625,0.9150390625,0.99853515625,0.9130859375,0.910888671875,0.0,0.09551921486854553,0.06760510057210922,0.06760510057210922,0.03302852809429169,0.025372156873345375,0.05537215620279312,0.026470355689525604,0.8978902697563171,0.8978902697563171,0.8978902697563171,0.0,0.991943359375,0.7857002019882202,0.13005879521369934,4.483620068640448e-05,1.2394618664757218e-08,0.03850291669368744,8796.244140625,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-15_12-31-14/model_1000.pt
model_1049.pt,1049,1049,1049,0.0,0.984130859375,0.8994140625,0.30517578125,0.7900390625,0.981689453125,0.7646484375,0.7900390625,0.7900390625,0.984130859375,0.78662109375,0.78662109375,0.0,0.09854996204376221,0.07083733379840851,0.07083733379840851,0.03539910539984703,0.02710450440645218,0.057104505598545074,0.02847546711564064,0.8955169916152954,0.8955169916152954,0.8955169916152954,0.0,0.9837394952774048,0.7959662675857544,0.24685662984848022,2.6547459128778428e-05,1.3626066497351985e-08,0.03843667730689049,7885.7666015625,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-15_12-31-14/model_1049.pt
