checkpoint,iteration,target_step,nearest_success_step,success_rate,stage1_alignment_ready_rate,pregrasp_entry_success_rate,pregrasp_entry_ready_rate,pregrasp_entry_reached_rate,pregrasp_success_rate,pregrasp_hold_ready_rate,pregrasp_held_rate,stage2_pregrasp_ready_rate,stage2_alignment_ready_rate,stage3_insertion_ready_rate,stage3_touch_ready_rate,stage4_center_ready_rate,mean_pregrasp_entry_distance,mean_pregrasp_distance,mean_gripper_center_pregrasp_distance,mean_touch_target_distance,mean_touch_error,mean_distance,mean_insertion_lateral_error,mean_alignment,mean_pregrasp_alignment,mean_insertion_alignment,mean_target_contact_penalty,mean_pregrasp_center_progress,mean_insertion_progress,mean_best_target_center_distance,mean_target_center_improvement,mean_pregrasp_line_error,min_distance,mean_reward,path
model_600.pt,600,600,600,0.0,0.767578125,0.748046875,0.720703125,0.720703125,0.748046875,0.666015625,0.666015625,0.666015625,0.767578125,0.326171875,0.0,0.0,0.10666593909263611,0.10374106466770172,0.10374106466770172,0.1391524374485016,0.1326080560684204,0.17260806262493134,0.08733369410037994,0.6682765483856201,0.6682765483856201,0.6682765483856201,0.0,0.5413316488265991,0.10458417236804962,0.7229785919189453,0.0002248399396194145,1.144561068144867e-08,0.08240878582000732,589.29541015625,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-15_12-18-28/model_600.pt
model_650.pt,650,650,650,0.0,0.9375,0.9375,0.197265625,0.923828125,0.9375,0.908203125,0.908203125,0.908203125,0.9375,0.8515625,0.775390625,0.0,0.09296251833438873,0.07009917497634888,0.07009917497634888,0.05128725618124008,0.045803092420101166,0.0858030915260315,0.03372582793235779,0.883003830909729,0.883003830909729,0.883003830909729,0.0,0.867047905921936,0.653986930847168,0.19785115122795105,0.00022160951630212367,1.233267976630259e-08,0.05045180395245552,8758.3251953125,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-15_12-18-28/model_650.pt
model_700.pt,700,700,700,0.0,1.0,0.556640625,0.17578125,0.91015625,0.94921875,0.802734375,0.91015625,0.91015625,1.0,0.88671875,0.833984375,0.0,0.09669515490531921,0.06929135322570801,0.06929135322570801,0.029879406094551086,0.019185060635209084,0.05547735095024109,0.02345925197005272,0.9171189069747925,0.9171189069747925,0.9171189069747925,0.0,0.9818703532218933,0.8620800375938416,0.15292024612426758,0.0002491261111572385,1.1839924596301898e-08,0.03057701885700226,10687.8837890625,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-15_12-18-28/model_700.pt
model_750.pt,750,750,750,0.001953125,0.98828125,0.40625,0.103515625,0.986328125,0.98828125,0.791015625,0.96875,0.96875,0.98828125,0.923828125,0.90234375,0.001953125,0.09985151141881943,0.07459090650081635,0.07459090650081635,0.03623070567846298,0.019788116216659546,0.05730348080396652,0.027114100754261017,0.8966652154922485,0.8966652154922485,0.8966652154922485,0.0,0.935693085193634,0.8875792026519775,0.11673150956630707,0.00012233149027451873,1.4439212492334264e-08,0.030794596299529076,10331.0849609375,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-15_12-18-28/model_750.pt
model_800.pt,800,800,800,0.0,1.0,0.28125,0.1015625,0.865234375,0.998046875,0.51953125,0.86328125,0.86328125,1.0,0.837890625,0.791015625,0.0,0.10094276070594788,0.07321023941040039,0.07321023941040039,0.02679913118481636,0.014273776672780514,0.04463733360171318,0.019089706242084503,0.9082629680633545,0.9082629680633545,0.9082629680633545,0.0,0.9742586612701416,0.8980726599693298,0.19658471643924713,0.0003474670520517975,1.36029791875103e-08,0.026547551155090332,10031.6484375,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-15_12-18-28/model_800.pt
model_849.pt,849,849,849,0.0,1.0,0.24609375,0.119140625,0.74609375,0.955078125,0.322265625,0.736328125,0.736328125,1.0,0.62109375,0.560546875,0.0,0.11406467109918594,0.08831825852394104,0.08831825852394104,0.0486019104719162,0.01712813973426819,0.054903775453567505,0.03784523904323578,0.89975905418396,0.89975905418396,0.89975905418396,0.0,0.9613927602767944,0.8927249908447266,0.3416743278503418,0.00017091588233597577,1.6016150183872924e-08,0.02986115962266922,8767.9716796875,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-15_12-18-28/model_849.pt
